titulo,precio,ubicacion,dorm,ban,sup
b'Copia de GENERA',U$S 80.000, General Paz ,1,1,60
b'Copia de NUEVA ',U$S 135.000, Nueva Córdoba ,2,1,70
b'CARDINALES ALTO',U$S 75.000, Otro ,1,1,60
b'Venta Dpto GNI ',U$S 115.000, San Salvador ,2,2,sin datos
b'Venta dpto alto',U$S 400.000, Quebrada de las Rosas ,3,3,sin datos
b'VENDO DEPTO 3 D',U$S 200.000, Jardín Espinosa ,3,2,sin datos
b'VENDO DEPARTAME',U$S 99.000, Quebrada de las Rosas ,3,2,sin datos
b'VENDO DEPARTAME',U$S 119.999, Centro ,4,3,sin datos
b'Excelente d\xc3\xbapl',U$S 175.000, Chacra del Norte ,3,3,sin datos
b'Dpto 3 dorm c /',U$S 120.000, Nueva Córdoba ,3,2,sin datos
b'Duplex en Docta',U$S 105.000, Docta Urbanización Inteligente ,3,2,sin datos
b'D\xc3\xbaplex de 3 do',U$S 120.000, Valle Escondido ,3,2,sin datos
b'CASONAS DEL PAR',U$S 140.000, Colinas de V. Sarsfield ,2,2,sin datos
b'DUPLEX EQUIPADO',U$S 210.000, Greenville 2 ,3,3,sin datos
b'Semipiso de 2 d',U$S 120.000, Nueva Córdoba ,2,2,sin datos
b'CAPRI DEPTO 2 D',U$S 165.000, Jardín Hipodromo ,2,1,sin datos
b'Ref.- VENDO DEP',U$S 28.000, Pueyrredon ,1,1,45
b'Av Col\xc3\xb3n- Al l',U$S 99.000, Centro ,2,3,sin datos
b'Nueva Cba- Av P',U$S 60.000, Nueva Córdoba ,1,1,sin datos
b'Departamentos d',U$S 97.000, Nueva Córdoba ,1,1,sin datos
b'Departamentos d',U$S 127.000, Nueva Córdoba ,1,1,sin datos
b'VENTA DEPARTAME',U$S 44.990, Nueva Córdoba ,1,1,sin datos
b'Departamento 2 ',U$S 32.000, Alberdi ,2,1,sin datos
b'EXC DPTO 3 DORM',U$S 220.000, Nueva Córdoba ,3,2,sin datos
b'NVA CBA VENTA D',U$S 260.000, Nueva Córdoba ,4,3,sin datos
b'ALTO VILLASOL: ',U$S 75.000, San Salvador ,1,1,sin datos
b'CENTRO HERMOSO ',U$S 135.000, Centro ,3,2,sin datos
b'DEPTO EN VENTA ',U$S 110.000, Villa Revol ,2,2,sin datos
b'Piso completo N',U$S 450.000, Nueva Córdoba ,4,4,sin datos
b'Casonas de Valp',U$S 230.000, Jardín ,2,2,sin datos
b'DUPLEX EN VENTA',U$S 100.000, San Isidro ,3,2,sin datos
b'DEPARTAMENTO EN',U$S 74.000, Jardín del Pilar ,3,2,sin datos
b'DEPARTAMENTO VE',U$S 53.000, Villa Revol ,1,1,45
b'PALMAS DEL CLAR',U$S 65.000, Palmas de Claret ,3,2,sin datos
b'VENTA DEPTO 2 D',U$S 49.990, Alberdi ,2,1,sin datos
"b'LIQUIDO,  UN DO'",U$S 28.000, Centro ,1,1,48
b'Duplex 2 dorm c',U$S 155.000, Nueva Córdoba ,2,2,sin datos
b'2 dorm Amplio. ',U$S 108.000, General Paz ,2,2,sin datos
"b'San Fernando,  '",U$S 93.000, San Fernando ,2,2,sin datos
"b'Centro,  Belgra'",U$S 150.000, Centro ,3,2,sin datos
b'DUPLEX 3 DORMIT',U$S 119.999, Manantiales ,3,2,sin datos
b'2 DORM B\xc2\xb0 NUEV',U$S 80.000, Nueva Córdoba ,2,2,sin datos
b'1 dorm b\xc2\xb0 albe',U$S 42.000, Alberdi ,1,1,sin datos
b'Dpto con Terraz',U$S 155.000, Nueva Córdoba ,2,2,sin datos
b'D\xc3\xbaplex en vent',U$S 230.000, Villa Belgrano ,3,3,sin datos
b'VENDO DEPTO ZON',U$S 79.000, Nueva Córdoba ,1,1,sin datos
b'A ESTRENAR DEPT',U$S 80.000, Nueva Córdoba ,1,1,sin datos
b'Duplex a Estren',U$S 180.000, Greenville 2 ,3,3,sin datos
b'Duplex a Estren',U$S 180.000, Greenville 2 ,3,3,sin datos
b'VENDO DEPTO 1 D',U$S 72.000, Alberdi ,1,1,sin datos
b'Complejo de Dep',U$S 100.000, Centro ,2,1,sin datos
b'VENTA DEPTO 2 D',consultar, Nueva Córdoba ,2,2,sin datos
b'LIQUIDO Dpto. E',U$S 26.000, San Vicente ,1,1,sin datos
b'DEPTO CON PATIO',U$S 70.000, Nueva Córdoba ,1,1,sin datos
b'IDEAL para rent',U$S 70.000, Alberdi ,1,1,sin datos
b'ALBERDI- CASERO',U$S 35.000, Alberdi ,1,1,sin datos
b'DEPARTAMENTO VE',U$S 109.000, Centro ,3,2,sin datos
b'DEPARTAMENTO 4 ',U$S 125.000, Centro ,4,2,sin datos
b'Duplex Greenvil',U$S 179.000, Greenville 2 ,3,3,sin datos
b'DEPARTAMENTO 2 ',U$S 155.000, San Francisco ,2,2,sin datos
b'DUPLEX DE 3 DOR',U$S 190.000, Greenville 2 ,3,3,sin datos
b'Departamento en',U$S 59.000, Centro ,1,1,sin datos
b'DPTO 2 DORM CON',U$S 120.000, Villa Revol ,2,sin datos,sin datos
b'Departamento en',U$S 34.000, San Martin ,1,1,sin datos
b'VALPARA\xc3\x8dSO VEN',U$S 50.000, Ipona ,1,1,sin datos
b'Alberdi  /  Cen',U$S 35.000, Alberdi ,1,1,sin datos
b'Duplex Greenvil',U$S 190.000, Greenville 2 ,3,3,sin datos
b'GREENVILLE 2 Du',U$S 185.000, Greenville 2 ,3,3,sin datos
b'DEPARTAMENTO DE',U$S 74.000, General Paz ,1,1,sin datos
b'DEPARTAMENTO DE',U$S 63.000, General Paz ,1,1,sin datos
b'DEPARTAMENTO DE',U$S 85.000, General Paz ,2,1,sin datos
b'',U$S 70.000, Nueva Córdoba ,2,2,sin datos
b'DEPTO MONOAMB. ',U$S 35.000, Nueva Córdoba ,sin datos,1,sin datos
b'DEPARTAMENTO DE',U$S 66.000, General Paz ,1,1,sin datos
b'Depto 1 Dor 1 B',U$S 60.000, Otro ,1,1,sin datos
b'CENTRO- 2 DORMI',U$S 55.000, Centro ,2,1,sin datos
b'Alberdi \xe2\x80\x93 Muy',U$S 32.000, Alberdi ,1,1,sin datos
b'Duplex Greenvil',U$S 185.000, Greenville 2 ,3,3,sin datos
b'DUPLEX GREENVIL',U$S 185.000, Greenville 2 ,3,3,sin datos
b'Venta Departame',U$S 33.000, Centro ,sin datos,sin datos,sin datos
b'CON BALCON AL F',U$S 60.000, Nueva Córdoba ,1,1,sin datos
b'D\xc3\xbaplex en vent',U$S 175.000, Chacra del Norte ,3,3,sin datos
b'Departamento en',consultar,sin ubicacion,2,3,sin datos
b'Departamento en',consultar,sin ubicacion,2,1,sin datos
b'DEPARTAMENTO VE',U$S 143.000, Altos de Villa Sol ,3,2,sin datos
b'Departamento en',U$S 45.000, Centro ,1,1,sin datos
b'1 Dor 1 Ba\xc3\xb1o C',U$S 95.000, Jardín Claret ,1,1,sin datos
b'Casonas del Cer',consultar, Cerro de las Rosas ,3,3,sin datos
b'Depto 3 dor 2 b',consultar, Otro ,3,2,sin datos
b'Depto 3 dor 2 b',U$S 181.000, Otro ,3,2,sin datos
b'Depto 3 dor 2 b',U$S 182.000, Otro ,3,2,sin datos
b'Departamento 1 ',U$S 48.000, Otro ,1,1,sin datos
b'Ref.- VENDO D\xc3\x9a',U$S 75.000, Alberdi ,2,2,sin datos
b'VENTA- DPTO 1 D',U$S 95.000, Chateau Carreras ,1,1,sin datos
b'Departamento de',U$S 37.000, Alto Alberdi ,1,1,sin datos
b'LA CA\xc3\x91ADA VENT',U$S 50.000, Guemes ,1,1,sin datos
b'VENDO DEPTO 3 D',U$S 200.000, Nueva Córdoba ,3,2,sin datos
b'VENTA DEPARTAME',U$S 80.000, Nueva Córdoba ,1,1,sin datos
b'VENTA- 3 dormit',U$S 240.000, Centro ,3,3,sin datos
b'ALBERDI- CORONE',U$S 60.000, Alberdi ,2,1,sin datos
b'SAN MARTIN- SOL',U$S 35.000, San Martin ,2,1,sin datos
b'Ref.- VENDO DEP',U$S 45.000, Alberdi ,1,1,43
b'DEPARTAMENTO- N',U$S 55.000,sin ubicacion,sin datos,1,sin datos
b'DEPTO 2 DOR- OB',U$S 63.000, Observatorio ,2,1,1
b'Vendo Departame',U$S 24.500, Centro ,Monoambiente,1,sin datos
b'Alta Cordoba do',U$S 62.000, Alta Córdoba ,2,1,sin datos
b'Balcon Pileta C',U$S 48.000, Centro ,1,1,sin datos
b'Av Col\xc3\xb3n Balco',U$S 51.000, Alberdi ,1,1,sin datos
b'Amplio y lumino',U$S 58.000, Nueva Córdoba ,1,1,sin datos
b'DEPARTAMENTOS E',U$S 120.000, Nueva Córdoba ,1,2,sin datos
b'DEPTO-CENTRO 3D',U$S 88.000, Centro ,3,2,sin datos
b'VENTA DPTO. 1 D',consultar, Nueva Córdoba ,1,1,54
b'Departamento en',consultar, Alberdi ,1,1,sin datos
b'Departamento en',consultar, Alberdi ,1,1,sin datos
b'Departamento en',consultar, Alberdi ,1,1,sin datos
b'Departamento en',consultar, Alberdi ,1,1,sin datos
b'Departamento fr',U$S 133.505, Nueva Córdoba ,2,2,sin datos
b'Departamento fr',U$S 476.000, Nueva Córdoba ,3,3,sin datos
b'Departamento en',U$S 122.378, Nueva Córdoba ,1,2,sin datos
b'Departamento en',U$S 120.591, Nueva Córdoba ,1,2,sin datos
b'Departamento en',U$S 118.805, Nueva Córdoba ,1,2,sin datos
b'Departamento en',U$S 115.231, Nueva Córdoba ,1,2,sin datos
b'Departamento en',U$S 117.018, Nueva Córdoba ,1,2,sin datos
b'Departamento en',U$S 76.821, Nueva Córdoba ,1,1,sin datos
b'Departamento en',U$S 214.385, Nueva Córdoba ,2,3,sin datos
b'Departamento en',U$S 76.821, Nueva Córdoba ,1,1,sin datos
b'Departamento en',U$S 124.164, Nueva Córdoba ,1,2,sin datos
b'Departamento en',U$S 476.000, Nueva Córdoba ,3,3,sin datos
b'Departamento en',U$S 102.164, Nueva Córdoba ,1,1,sin datos
b'Departamento en',U$S 133.505, Nueva Córdoba ,2,2,sin datos
b'A Estrenar c / ',U$S 60.000, Alta Córdoba ,1,1,40
b'Departamento en',U$S 57.667, Alta Córdoba ,1,1,sin datos
b'Departamento en',U$S 95.400, Alta Córdoba ,2,1,sin datos
b'Departamento en',U$S 213.134, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 210.118, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 207.102, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 204.086, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 201.070, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 255.668, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 219.166, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 219.166, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 222.182, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 216.150, Nueva Córdoba ,2,2,sin datos
b'Departamento en',U$S 56.353, Alta Córdoba ,1,1,40
b'Vendo Departame',U$S 65.000, Observatorio ,1,1,sin datos
b'Vendo Departame',U$S 95.000, Jardín Claret ,1,1,42
b'Departamento en',U$S 89.936, Nueva Córdoba ,1,2,sin datos
b'Departamento en',U$S 88.990, Nueva Córdoba ,1,1,sin datos
b'Departamento en',U$S 109.861, Nueva Córdoba ,1,2,sin datos
b'Departamento en',U$S 75.927, Nueva Córdoba ,1,1,sin datos
b'Departamento en',U$S 86.885, Nueva Córdoba ,1,1,sin datos
b'Av V\xc3\xa9lez Sarsf',U$S 55.000, Nueva Córdoba ,1,1,sin datos
b'Vendo Departame',U$S 110.000, Chateau Carreras ,3,1,78
b'VENTA DPTO. FRE',consultar, Nueva Córdoba ,1,1,65
b'Departamento de',U$S 135.000, Centro ,3,2,sin datos
b'DEPTO 3D 2B- AL',U$S 138.000, Altos de Villa Sol ,3,2,sin datos
b'DEPARTAMENTO EN',U$S 58.000, General Paz ,1,1,sin datos
b'DEPARTAMENTO VE',U$S 49.000, Las Rosas ,1,1,sin datos
b'2 DORMITORIOS D',U$S 80.000,sin ubicacion,2,1,sin datos
b'DPTO CON INMEJO',U$S 50.000, Nueva Córdoba ,1,1,sin datos
b'HOUSING BARDAS-',U$S 135.000, Jardín ,2,2,sin datos
b'OPORTUNIDAD Pje',U$S 33.000, Providencia ,1,1,sin datos
b'Departamento en',U$S 269.789, Nueva Córdoba ,2,2,sin datos
b'Zona plaza Colo',U$S 30.000, Alberdi ,1,1,sin datos
b'DEPARTAMENTO 3 ',U$S 120.000, Centro ,3,2,100
b'VILLA AZALAIS- ',U$S 16.000, Villa Azalais ,3,1,sin datos
b'DEPARTAMENTO 2 ',U$S 78.000, Alta Córdoba ,2,1,sin datos
b'NUEVA CORDOBA- ',U$S 95.000, Nueva Córdoba ,2,1,sin datos
b'2 DORMITORIOS- ',U$S 48.000, San Martin ,2,1,sin datos
b'INMEJORABLE PIS',U$S 530.000, Nueva Córdoba ,3,3,400
b'VENTA DE DEPART',U$S 110.000, General Paz ,2,2,sin datos
b'Vendo departame',U$S 60.000, Nueva Córdoba ,1,1,sin datos
b'Excelente Duple',U$S 190.000, Tejas 1 ,3,sin datos,sin datos
b'VENTA DE DEPTO ',U$S 80.000, Parque Capital ,3,1,sin datos
b'VENDO DEPTO NUE',U$S 77.000, Nueva Córdoba ,1,1,sin datos
b'DEPARTAMENTO VE',U$S 18.000, Las Palmas ,1,1,sin datos
"b'Nueva Cordoba, '",U$S 110.000, Nueva Córdoba ,2,1,sin datos
b'Capri complejo ',U$S 188.000, Jardín ,2,1,sin datos
b'Ipona  /  Kenne',U$S 58.000, Ipona ,3,1,sin datos
b'CASONAS DE VALP',U$S 230.000, Jardín ,2,2,sin datos
b'VENDO DEPARTAME',U$S 51.900, General Paz ,2,1,sin datos
b'Semipiso- Paran',U$S 240.000, Nueva Córdoba ,3,1,sin datos
b'VENDO DEPTO 2 D',U$S 120.000, Centro ,2,3,sin datos
b'Complejo Livett',U$S 191.000, Quebrada de las Rosas ,2,2,sin datos
b'Departamento en',U$S 160.000, Centro ,4,2,sin datos
b'PUEYRREDON- SUI',consultar, Pueyrredon ,2,2,sin datos
b'Dpto 2 dorm b\xc2\xb0',U$S 74.000, Nueva Córdoba ,2,1,sin datos
b'VENTA DEPTO 1 D',U$S 52.000, Guemes ,1,1,sin datos
"b'Departamento,  '",U$S 100.000, Jardín Claret ,1,1,sin datos
b'UN DORMITORIO- ',U$S 28.000, Centro ,Monoambiente,1,sin datos
b'DEPTO EN VENTA ',U$S 60.000, Villa Revol ,1,1,sin datos
"b'Nueva C\xc3\xb3rdoba,'",U$S 115.000, Nueva Córdoba ,3,2,80
b'DUPLEX VENTA B ',U$S 90.000, General Paz ,2,2,sin datos
b'Departamento B\xc2',U$S 37.500, Cofico ,1,1,sin datos
"b'Centro,  9 de J'",U$S 170.000, Centro ,3,2,85
b'Departamento en',U$S 65.000, Guemes ,1,1,sin datos
b'VENTA 3 DORMITO',U$S 130.000, Centro ,3,1,sin datos
b'VTA. 1 DORMITOR',U$S 90.000, Nueva Córdoba ,1,1,sin datos
b'Ref.- VENDO DEP',U$S 34.000, Alberdi ,1,1,sin datos
b'DEPARTAMENTO EN',U$S 45.000, Arguello ,2,1,sin datos
b'DEPARTAMENTO VE',U$S 48.000, Nueva Córdoba ,1,1,sin datos
b'Ref.- VENDO DEP',U$S 54.000, Centro ,2,1,sin datos
b'DEPARTAMENTO EN',U$S 65.000, Villa Revol ,1,1,sin datos
b'Piso Sobre Poet',U$S 220.000, Nueva Córdoba ,2,3,sin datos
b'DEPTO 1 DOR- A.',U$S 40.000, Alto Alberdi ,1,1,sin datos
b'dpto venta con ',U$S 65.000,sin ubicacion,2,1,60
b'DEPARTAMENTO EN',U$S 35.000, Alberdi ,1,1,sin datos
b'Departamento ca',U$S 320.000, Villa Belgrano ,2,3,sin datos
"b'Centro,  depart'",U$S 110.000, Centro ,3,2,sin datos
b'Depto 1 dormito',U$S 78.000, Villa Revol ,1,1,sin datos
"b'Alberdi,  depar'",U$S 65.000, Alberdi ,2,1,65
"b'CENTRO,  depart'",U$S 300.000, Centro ,4,4,210
b'ALTOS DE VILLA ',U$S 60.000, Otro ,1,1,40
b'Fontanas del su',U$S 98.000, Otro ,1,1,65
b'DEPTO 1 DORMITO',U$S 68.000, Villa Revol ,1,1,sin datos
b'Muy buen depto ',U$S 95.000, Nueva Córdoba ,2,2,sin datos
b'DEPTO 3 DOR MON',U$S 50.000, Villa Cabrera ,3,2,sin datos
b'DEPTO EN VENTA ',U$S 105.000, Cofico ,1,1,sin datos
"b'Nueva C\xc3\xb3rdoba,'",U$S 60.000, Nueva Córdoba ,1,1,sin datos
b'Dpto 3 dorm PB ',U$S 25.000, Parque Capital Sud ,3,1,sin datos
b'departamento 3 ',U$S 230.000, Nueva Córdoba ,3,2,sin datos
b'VENTA DEPTO 2 D',U$S 100.000, Avenida ,2,2,sin datos
b'DUPLEX-NUEVO UR',U$S 140.000,sin ubicacion,3,sin datos,sin datos
b'DUPLEX VENTA MI',U$S 180.000, Miradores de Manantiales ,2,sin datos,sin datos
b'DEPARTAMENTO VE',U$S 35.000, Alberdi ,1,1,sin datos
b'Departamento 4 ',consultar, Nueva Córdoba ,4,3,sin datos
b'VTA. 1 DORMITOR',U$S 40.000, Alberdi ,1,1,sin datos
b'ALTOVILLASOL LI',U$S 85.000, Otro ,2,1,sin datos
b'B\xc2\xba G\xc3\x9cEMES- De',U$S 26.900, Guemes ,1,1,sin datos
b'DEPARTAMENTO EN',U$S 230.000, Jardín ,2,2,sin datos
b'Depto en Venta-',U$S 350.000, Otro ,3,2,sin datos
"b'Nueva C\xc3\xb3rdoba,'",U$S 120.000, Nueva Córdoba ,2,1,sin datos
b'OPORTUNIDAD DPT',U$S 33.000, San Isidro ,2,1,sin datos
b'DUPLEX 3 DORMIT',U$S 200.000, Otro ,3,3,sin datos
b'DEPARTAMENTO EN',U$S 45.000, Alberdi ,1,1,sin datos
"b'Nueva C\xc3\xb3rdoba,'",U$S 130.000, Nueva Córdoba ,3,2,sin datos
"b'Alta C\xc3\xb3rdoba, '",U$S 53.000, Alta Córdoba ,1,1,sin datos
b'VENTA TERRA FOR',U$S 90.000, Otro ,1,2,sin datos
b'ALTO VILLASOL L',U$S 50.000, Otro ,1,1,sin datos
b'D\xc3\xbaplex de 3 do',U$S 115.000, Manantiales ,3,3,sin datos
b'ALTA CBA OPORTU',U$S 45.000, Alta Córdoba ,1,1,sin datos
b'DEPARTAMENTO VI',U$S 87.000, Alberdi ,3,2,sin datos
b'VENDO DPTO 1 DO',U$S 55.000, Observatorio ,1,sin datos,sin datos
b'VENDO DEPTO 1 D',U$S 45.000, General Paz ,1,1,sin datos
b'DUPLEX GREENVIL',U$S 196.000, Greenville 2 ,3,3,sin datos
b'DUPLEX VENTA 2 ',U$S 99.000,sin ubicacion,2,2,sin datos
b'TRIPLEX 2DORM A',U$S 118.000, Alejandro Centeno ,2,2,sin datos
b'CENTRO 2 DORMIT',U$S 85.000, Centro ,2,1,sin datos
b'ALTO VILLASOL 1',U$S 61.000, Otro ,1,1,sin datos
b'ALTO VILLASOL!!',U$S 68.000, Quebrada de las Rosas ,1,1,sin datos
b'ALTO VILLA SOL!',U$S 88.000, Otro ,2,1,sin datos
b'Casa Grande Con',U$S 113.000, Jardín Hipodromo ,1,1,sin datos
b'Dpto 2 dorm b\xc2\xb0',U$S 72.000, Nueva Córdoba ,2,1,sin datos
b'COFICO CATEGORI',consultar, Cofico ,2,2,75
b'Depto de dos do',U$S 210.000, Nueva Córdoba ,2,2,sin datos
b'GRAL PAZ OFERTA',U$S 65.000, General Paz ,1,sin datos,sin datos
b'DPTO 3 DORM SOB',U$S 25.000, Parque Capital Sud ,3,1,sin datos
b'CENTRO DEPARTAM',U$S 120.000, Centro ,3,2,100
b'DEPARTAMENTO UN',U$S 48.000, Centro ,1,1,45
b'HOUSING BARDAS-',U$S 165.000, Jardín ,3,2,sin datos
b'MUY BUEN INMUEB',U$S 140.000, A.T.E. ,3,3,130
b'GUEMES- 1 DORM ',U$S 40.000, Guemes ,1,1,sin datos
"b'Cofico,  depart'",U$S 62.000, Cofico ,1,1,50
b'Duplex en venta',U$S 105.000, San Ignacio ,3,3,sin datos
b'Departamento de',U$S 80.000, General Paz ,1,1,sin datos
b'DPTOS 1 DORM- A',U$S 35.000, Providencia ,1,1,sin datos
b'EXCLUSIVO COMPL',U$S 235.000, Villa Belgrano ,2,sin datos,sin datos
b'Semipiso Centro',U$S 120.000, Centro ,3,3,sin datos
b'CENTRO AMERICA-',consultar, Centro America ,2,1,sin datos
b'ALTA C\xc3\x93RDOBA- ',consultar, Alta Córdoba ,2,1,sin datos
b'ALTA C\xc3\x93RDOBA- ',consultar, Alta Córdoba ,1,1,sin datos
b'VENTA DEPARTAME',U$S 63.000, Nueva Córdoba ,1,1,sin datos
b'CENTRO- ALVEAR ',U$S 52.000, Centro ,1,1,sin datos
b'NUEVA CORDOBA- ',U$S 65.000, Nueva Córdoba ,1,1,sin datos
b'BARRIO OBSERVAT',U$S 45.000, Observatorio ,1,1,sin datos
b'SAN MARTIN- TAM',consultar, San Martin ,1,1,sin datos
b'Cofico- Campill',U$S 55.000, Cofico ,1,1,sin datos
b'GENERAL PAZ- LA',consultar, General Paz ,2,1,sin datos
b'ALTA CORDOBA OP',U$S 47.000, Alta Córdoba ,1,sin datos,sin datos
b'ALTA CBA 2 DORM',U$S 75.000, Alta Córdoba ,2,sin datos,sin datos
b'INDEPENDENCIA- ',consultar, Independencia ,1,1,sin datos
b'GENERAL BUSTOS-',consultar, General Bustos ,3,sin datos,sin datos
b'NUEVA ITALIA- T',consultar, Nueva Italia ,1,1,sin datos
b'ALTO ALBERDI- U',consultar, Alberdi ,1,1,sin datos
b'ALTO ALBERDI- U',consultar, Alberdi ,1,1,sin datos
b'ALTO ALBERDI- U',consultar, Alberdi ,3,2,sin datos
b'CIUDAD GAMA- CO',consultar, Centro ,1,1,sin datos
b'GRAL PAZ- Dto 2',U$S 139.000, General Paz ,2,2,sin datos
b'Dpto.  /  D\xc3\xbapl',consultar, Arguello ,3,2,sin datos
b'Centro Dpto. 3d',U$S 90.000, Centro ,sin datos,sin datos,sin datos
b'vendo departame',U$S 55.000, Centro ,2,1,sin datos
"b'NUEVO JARD\xc3\x8dN, '",U$S 132.000, Jardín ,3,2,180
b'DEPTO 2 DORMITO',U$S 160.000, Claros del Bosque ,2,2,sin datos
b'Departamento en',U$S 315.000, Villa Belgrano ,3,2,sin datos
b'Depto. de un do',U$S 69.000, General Paz ,2,1,sin datos
b'Fontanas del Su',U$S 140.000, Otro ,2,2,sin datos
b'LANZAMIENTO EDI',U$S 99.000, General Paz ,2,2,sin datos
b'Dpto 1 dorm B\xc2\xb0',U$S 35.000, San Vicente ,1,1,sin datos
"b'Nueva C\xc3\xb3rdoba,'",U$S 58.500, Nueva Córdoba ,1,1,47
"b'Terraforte 2,  '",U$S 57.000, Otro ,1,1,45
b'Departamento de',U$S 65.000, General Paz ,1,1,sin datos
b'Departamento en',U$S 65.000, Guemes ,1,1,sin datos
b'ALTA CORDOBA * ',U$S 65.000, Alta Córdoba ,1,1,sin datos
b'GRAL PAZ 1 DORM',U$S 75.000, General Paz ,1,2,sin datos
"b'Tejas del Sur, '",U$S 196.000, Tejas 1 ,3,2,sin datos
b'NUEVA CORDOBA- ',U$S 54.000, Nueva Córdoba ,Monoambiente,1,sin datos
b'Departamento de',U$S 77.000, Centro ,1,1,sin datos
b'Duplex en Venta',U$S 175.000, Cañuelas ,3,3,sin datos
b'ALBERDI- DTO. 1',U$S 57.000, Alberdi ,1,1,sin datos
"b'Nueva C\xc3\xb3rdoba,'",U$S 55.000, Nueva Córdoba ,1,1,35
b'Alto Alberdi- D',U$S 65.000, Alto Alberdi ,1,1,sin datos
b'COMPLEJO CASA B',U$S 172.000, Los Naranjos ,2,2,sin datos
b'VENTA-1 DORMITO',U$S 65.000, General Paz ,1,1,sin datos
b'VENTA- 1 DORMIT',U$S 65.000, General Paz ,1,1,sin datos
b'VENTA 2 DORMITO',U$S 120.000, General Paz ,2,2,sin datos
b'D\xc3\x9aPLEX LA PAYA',U$S 100.000, La Paya II ,3,2,sin datos
b'VENTA DEPARTAME',U$S 45.000, Observatorio ,1,1,sin datos
b'Depto. de un do',U$S 49.000, Guemes ,1,1,sin datos
b'VENTA DPTO. 1 D',U$S 25.000,sin ubicacion,1,1,sin datos
b'OPORTUNIDAD. DE',U$S 77.000, Centro ,2,1,sin datos
b'Departamento 1 ',U$S 50.000, Pueyrredon ,1,1,sin datos
b'VENTA DEPTO 2 D',U$S 85.000, Nueva Córdoba ,2,1,sin datos
b'Departamento fr',U$S 86.885, Nueva Córdoba ,1,1,42
b'Departamento fr',U$S 86.885, Nueva Córdoba ,1,1,sin datos
b'Departamento fr',U$S 86.885, Nueva Córdoba ,1,1,sin datos
b'Departamento fr',U$S 86.885, Nueva Córdoba ,1,1,sin datos
b'VENTA IMPORTANT',U$S 400.000, Nueva Córdoba ,2,3,sin datos
"b'Nueva Cordoba, '",U$S 63.000, Nueva Córdoba ,1,1,40
b'Centro. departa',U$S 125.000, Centro ,3,2,sin datos
b'Centro  /  Albe',U$S 95.000, Centro ,2,1,sin datos
"b'Centro,  depart'",U$S 80.000, Centro ,3,1,sin datos
"b'Centro,  1 Dorm'",U$S 75.000, Centro ,1,1,sin datos
"b'Nueva Cordoba, '",U$S 75.000, Nueva Córdoba ,1,1,sin datos
"b'Villa Sol,  dep'",U$S 70.000, Villa Sol ,1,1,sin datos
b'CASONAS DE VALA',U$S 215.000, Jardín Hipodromo ,2,2,sin datos
b'ALBERDI DEPARTA',U$S 78.000, Alberdi ,2,1,50
"b'Villa Belgrano,'",consultar, Villa Belgrano ,3,3,sin datos
b'Arg\xc3\xbcello Villa',consultar, Arguello ,Monoambiente,sin datos,sin datos
b'ALTA C\xc3\x93RDOBA (',U$S 60.000, Alta Córdoba ,2,1,sin datos
b'G\xc3\xbcemes  /  Nue',U$S 55.000, Guemes ,1,1,sin datos
"b'Barrio Centro, '",U$S 175.000, Centro ,3,2,sin datos
"b'Cofico,  depart'",U$S 50.000, Cofico ,1,1,sin datos
b'Duplex 2 dorm. ',U$S 150.000, Alejandro Centeno ,2,2,sin datos
b'Centro- Excelen',U$S 35.000, Centro ,sin datos,1,sin datos
b'Venta- Dpto 3 d',U$S 135.000, General Paz ,3,1,sin datos
b'Venta- Dpto 3 d',U$S 300.000, General Paz ,3,2,sin datos
b'Duplex a estren',U$S 180.000, Urca ,3,3,sin datos
b'Venta- Dpto 2 d',U$S 260.000, Valle Escondido ,2,2,sin datos
b'CENTRO HIPOLITO',U$S 550.000, Centro ,4,4,sin datos
b'VENTA DE DEPART',U$S 260.000, Centro ,4,sin datos,sin datos
b'ZONA TRIBUNALES',U$S 73.000, Centro ,1,1,sin datos
b'EXCELENTE UBICA',U$S 70.000,sin ubicacion,1,1,sin datos
"b'Oportunidad,  D'",U$S 120.000, Nueva Córdoba ,2,1,sin datos
b'Depto. de dos d',U$S 130.000, General Paz ,2,2,sin datos
b'Depto. de dos d',U$S 140.000, General Paz ,2,2,sin datos
b'Vendo dpto 2 do',U$S 140.000, Nueva Córdoba ,2,1,sin datos
b'B&C- NVA C\xc3\x93RDO',U$S 79.000, Cofico ,1,1,sin datos
b'VENTA PISO EN N',U$S 550.000, Nueva Córdoba ,4,4,sin datos
b'COFICO EN LA ME',U$S 61.000, Cofico ,1,1,sin datos
b'DPTO 3 DORM UNI',U$S 220.000, Nueva Córdoba ,3,3,sin datos
b'VENTA DEPTO 1 D',U$S 53.000, Nueva Córdoba ,1,1,sin datos
b'B',U$S 75.000, General Paz ,1,1,sin datos
