titulo,precio,ubicacion,dorm,ban,sup
b'OPORTUNIDAD 3 D',U$S 85.000, Cofico ,3,2,sin datos
b'Venta departame',U$S 125.000, Nueva Córdoba ,2,1,sin datos
b'ALTO ALBERDI- D',U$S 26.000, Alto Alberdi ,1,1,35
b'BETANIA PLAZA 1',U$S 76.000, Nueva Córdoba ,1,1,45
b'VENTA- DEPARTAM',U$S 120.000, Nueva Córdoba ,3,2,110
b'Departamento Ve',U$S 31.000, San Martin ,1,1,sin datos
b'Departamento en',U$S 35.000, Alto Alberdi ,1,1,sin datos
b'NO BUSQUES M\xc3\x81S',U$S 150.000, Parque Chacabuco ,3,2,sin datos
b'CASONAS DEL SUR',U$S 195.000, Parque Velez Sarsfield ,3,2,154
b'VENDO APTO CRED',U$S 85.000, Nueva Córdoba ,3,3,sin datos
b'DUPLEX LA PAYA ',U$S 93.000, La Paya II ,3,2,sin datos
b'VENTA- 2 dormit',U$S 200.000, Jardín ,2,2,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 40.000, Nueva Córdoba ,1,1,sin datos
b'DUPLEX EN VENTA',U$S 110.000, Manantiales ,2,2,sin datos
b'BETANIA PLAZA 1',U$S 78.000, Nueva Córdoba ,1,1,45
b'DPTO NUEVA CBA ',U$S 75.000, Nueva Córdoba ,1,1,42
